borrower_id,report_date,num_open_accounts,total_debt,delinquencies_last_2yrs,bankruptcy_flag
B001,2023-01-01,4,"$12,500",0,N
B002,2023-01-01,,8200,1,No
B003,2023-01-01,6,"$21,000",0,0
B004,2023-01-01,3,15200,2,Y
B005,2023-01-01,7,,3,Yes
B006,2023-01-01,2,9800,0,N
B007,2023-01-01,5,"$18,400",0,No
B008,2023-01-01,,11200,1,0
B009,2023-01-01,4,7600,0,N
B010,2023-01-01,8,"$24,900",4,Yes
B011,2023-01-01,3,13100,0,No
B012,2023-01-01,6,,0,0
B013,2023-01-01,5,16800,1,N
B014,2023-01-01,2,6400,0,No
B015,2023-01-01,7,"$19,700",2,Y
B016,2023-01-01,4,10900,0,N
B017,2023-01-01,,8100,1,Yes
B018,2023-01-01,3,14300,0,0
B019,2023-01-01,5,9200,0,No
B020,2023-01-01,6,"$17,600",1,N
B021,2023-01-01,2,5900,0,No
B022,2023-01-01,4,12400,0,0
B023,2023-01-01,7,,3,Yes
B024,2023-01-01,3,11100,0,N
B025,2023-01-01,5,15600,1,No
B026,2023-01-01,,8800,2,1
B027,2023-01-01,6,"$20,300",0,N
B028,2023-01-01,4,9500,0,No
B029,2023-01-01,3,13800,1,0
B030,2023-01-01,5,7200,0,N
B001,2023-07-01,5,"$14,800",1,N
B003,2023-07-01,7,"$23,500",1,0
B005,2023-07-01,8,26100,4,Yes
B006,2023-07-01,2,9200,0,N
B010,2023-07-01,9,"$27,300",5,Yes
B011,2023-07-01,,12800,0,No
B015,2023-07-01,7,20100,3,Y
B031,2023-01-01,4,10200,0,N
B032,2023-01-01,3,8700,0,No
B033,2023-01-01,6,"$18,900",1,0
B034,2023-01-01,5,,2,Yes
B035,2023-01-01,,9600,0,N
B036,2023-01-01,4,11400,0,No
B037,2023-01-01,7,"$21,900",1,0
B038,2023-01-01,3,7900,0,N
B039,2023-01-01,8,29500,5,Yes
B040,2023-01-01,4,13200,0,No
