payment_id,loan_id,payment_date,amount_paid,payment_method,days_late
P00001,L1001,2023-02-15,510.25,ACH,0
P00002,L1001,2023-03-15,510.25,ach,0
P00003,L1001,03/15/2023,510.25,ACH,0
P00004,L1002,2023-02-22,370.00,Check,2
P00005,L1002,03/22/2023,370.00,check,0
P00006,L1003,15-Mar-2023,610.50,Credit Card,0
P00007,L1003,2023-04-15,,credit card,5
P00008,L1004,2023-03-20,405.75,ACH,-3
P00009,L1004,04/20/2023,405.75,Wire,0
P00010,L1005,2023-04-01,470.00,check,10
P00011,L1005,2023-05-01,,Check,45
P00012,L1006,03/10/2023,650.00,ACH,0
P00013,L1006,2023-04-10,650.00,ach,0
P00014,L1006,10-May-2023,650.00,ACH,0
P00015,L1007,2023-03-15,,Wire,0
P00016,L1008,15-Apr-2023,480.20,Credit Card,0
P00017,L1008,2023-05-15,480.20,credit card,1
P00018,L1009,2023-05-01,395.00,ACH,0
P00019,L1009,05/01/2023,395.00,ACH,0
P00020,L1010,2023-05-05,-150.00,check,0
P00021,L1010,2023-06-05,300.00,Check,15
P00022,L1011,2023-05-10,720.00,wire transfer,0
P00023,L1011,05/10/2023,720.00,Wire,0
P00024,L1012,10-May-2023,,ACH,0
P00025,L1013,2023-05-18,265.00,check,0
P00026,L1013,06/18/2023,265.00,Check,3
P00027,L1014,2023-05-22,510.00,ACH,0
P00028,L1015,2023-06-01,,Credit Card,0
P00029,L1016,06/05/2023,455.00,ACH,0
P00030,L1016,2023-07-05,455.00,ach,0
P00031,L1017,2023-06-12,390.00,check,20
P00032,L1017,12-Jul-2023,390.00,Check,0
P00033,L1018,2023-06-12,570.00,Credit Card,0
P00034,L1019,06/20/2023,,credit card,0
P00035,L1020,2023-06-25,430.00,ACH,0
P00036,L1020,2023-07-25,430.00,ACH,-1
P00037,L1021,2023-07-01,610.00,wire transfer,0
P00038,L1022,07/08/2023,540.00,Check,0
P00039,L1022,2023-08-08,540.00,check,7
P00040,L1023,2023-07-15,310.00,ACH,25
P00041,L1024,15-Jul-2023,,Credit Card,0
P00042,L1024,2023-08-15,455.00,credit card,0
P00043,L1025,2023-07-22,480.00,ACH,0
P00044,L1025,07/22/2023,480.00,ach,0
P00045,L1026,2023-07-28,285.00,check,30
P00046,L1027,08/01/2023,720.00,Wire,0
P00047,L1027,2023-09-01,720.00,wire transfer,0
P00048,L1028,2023-08-05,,Check,0
P00049,L1029,08/11/2023,530.00,ACH,0
P00050,L1029,2023-09-11,530.00,ACH,2
P00051,L1030,2023-08-11,-200.00,check,0
P00052,L1030,2023-09-11,240.00,Check,60
P00053,L1032,08/20/2023,,ACH,0
P00054,L1033,2023-08-25,455.00,Credit Card,0
P00055,L1033,08/25/2023,455.00,credit card,0
P00056,L1034,2023-09-01,610.00,ACH,0
P00057,L1034,09/01/2023,610.00,ach,0
P00058,L1035,2023-09-05,,check,15
P00059,L1036,09/10/2023,505.00,ACH,0
P00060,L1036,2023-10-10,505.00,ACH,-2
P00061,L1037,2023-09-10,290.00,Check,0
P00062,L1038,09/15/2023,545.00,Credit Card,0
P00063,L1038,2023-10-15,545.00,credit card,0
P00064,L1039,2023-09-25,,check,40
P00065,L1040,09/30/2023,,Wire,0
P00066,L1041,2023-08-30,650.00,ACH,0
P00067,L1041,08/30/2023,650.00,ach,0
P00068,L1042,2023-09-01,320.00,check,0
P00069,L1043,09/05/2023,470.00,ACH,0
P00070,L1044,2023-09-10,,Credit Card,0
P00071,L1045,09/15/2023,505.00,ACH,0
P00072,L1045,2023-10-15,505.00,ACH,0
P00073,L1046,09/15/2023,,check,18
P00074,L1047,2023-09-20,690.00,Wire,0
P00075,L1047,09/20/2023,690.00,wire transfer,0
P00076,L1048,2023-09-25,455.00,ACH,0
P00077,L1049,09/01/2023,505.00,Credit Card,0
P00078,L1049,2023-10-01,505.00,credit card,3
P00079,L1050,10/05/2023,,check,50
P00080,L1051,2023-10-10,590.00,ACH,0
P00081,L1051,10/10/2023,590.00,ach,0
P00082,L1052,2023-10-10,420.00,Check,0
P00083,L1053,10/15/2023,730.00,Wire,0
P00084,L1053,2023-11-15,730.00,wire transfer,0
P00085,L1054,10/20/2023,,ACH,0
P00086,L1055,2023-10-25,505.00,Credit Card,0
P00087,L1055,10/25/2023,505.00,credit card,0
P00088,L1001,04/15/2023,510.25,ACH,0
P00089,L1002,2023-04-22,,Check,90
P00090,L9999,2023-05-01,300.00,ACH,0
